text,label,source
"Apple (NasdaqGS:AAPL) Sees 10% Price Dip Despite Launch Of MacBook Air With M4 Chip. Apple (NasdaqGS:AAPL) recently rolled out several innovative products, such as the MacBook Air with the M4 chip and the high-performance M3 Ultra chip. Despite these advancements, Apple's stock saw a 10% decrease over the past month. This downward trend coincides with the broader market's four-week slump, driven by economic uncertainties and the impact of new tariffs. Although Apple's announcements, including the iPhone 16e and its investment plans in the U.S., aimed to bolster its position,...",neutral,Yahoo Finance
"Tech Support: Apple’s MacBook Air is $100 cheaper and still among the best laptops you can buy. Apple’s latest MacBook Air is here, bringing the company’s newest processor, the M4, to its bestselling line of laptops. The updated Air, available in both 13-inch and 15-inch models, also gets an extremely rare feature for a modern gadget: a $100 price cut.",neutral,Yahoo Finance
Apple is quietly planning to add genius new feature to AirPods. The tech giant is cooking up a major update that would give AirPods a competitive edge.,neutral,Yahoo Finance
"Amazon pays Trump, Intel's new CEO, and China's AI agent: Tech news roundup. In the past year, artificial intelligence leaders have talked about the advent of agents that can do work autonomously. Now, China says it has developed the world’s first.",neutral,Yahoo Finance
"Jim Cramer on Apple Inc. (AAPL): ‘I Hear That People Are Cutting Back’. We recently published an article titled Jim Cramer Talked About These 7 Stocks Recently. In this article, we are going to take a look at where Apple Inc. (NASDAQ:AAPL) stands against the other stocks Jim Cramer recently discussed. Jim Cramer, the host of Mad Money, expressed frustration on Thursday over the negative outlook he believes the […]",neutral,Yahoo Finance
"Billionaire Warren Buffett's Artificial Intelligence (AI) Investing Strategy May Surprise You. In recent years, artificial intelligence (AI) stocks have led the market higher.  Right now, Buffett's holding company, Berkshire Hathaway, has several big investments in companies that are exposed to the AI revolution.  Consider Berkshire's investment in Apple (NASDAQ: AAPL).",neutral,Yahoo Finance
"Citi Removes Apple Inc. (AAPL) from Catalyst Watch, Maintains ‘Buy’ Amid Siri Delay. We recently compiled a list of the 10 High Flying AI Stocks This Week. In this article, we are going to take a look at where Apple Inc. (NASDAQ:AAPL) stands against the other AI stocks. Celestial AI™, creator of the Photonic Fabric™ optical interconnect technology platform, recently announced that it has raised an additional $250 million […]",neutral,Yahoo Finance
"Apple (AAPL) Rises But Trails Market: What Investors Should Know. Apple (AAPL) concluded the recent trading session at $213.49, signifying a +1.82% move from its prior day's close.",neutral,Yahoo Finance
"Antitrust under Trump: Regulators lock in on Big Tech. Antitrust regulators aren't backing down from cases against Big Tech names like Alphabet (GOOG, GOOGL), Meta Platforms (META), Apple (AAPL), Amazon (AMZN), and Microsoft (MSFT) under President Donald Trump's second term. Yahoo Finance Senior Legal Reporter Alexis Keenan joins Market Domination Overtime with Julie Hyman and Myles Udland to break down the US government's ongoing antitrust cases against Big Tech names. To watch more expert insights and analysis on the latest market action, check out more Market Domination Overtime here.",neutral,Yahoo Finance
"This is the Magnificent 7 stock to buy on the dip, strategist says. The ""Magnificent Seven"" stocks haven't been immune to the overall market decline. BMO Capital Markets Chief investment Strategist Brian Belski says there's one Mag 7 stock he would buy on the dip. Find out what it is in the video above. To watch more expert insights and analysis on the latest market action, check out more Catalysts here.",neutral,Yahoo Finance
"Apple Inc. (AAPL) Faces Sluggish Growth as iPhone 16 Demand Disappoints, Analysts Warn. We recently published a list of 10 AI Stocks On Wall Street’s Radar. In this article, we are going to take a look at where Apple Inc. (NASDAQ:AAPL) stands against other AI stocks that are on Wall Street’s radar today. Unlike other companies, OpenAI does not struggle with market demand; noted Oliver Jay, managing director […]",neutral,Yahoo Finance
"The Mag 7 Stocks Have Gotten Crushed. Buy These 4 Now.. Amazon.com may be the best bet among the Magnificent Seven. These other three stocks look attractive, too.",neutral,Yahoo Finance
"Apple’s Siri Chief Calls AI Delays Ugly and Embarrassing, Promises Fixes. (Bloomberg) -- Apple Inc.’s top executive overseeing its Siri virtual assistant told staff that delays to key features have been ugly and embarrassing, and a decision to publicly promote the technology before it was ready made matters worse.Most Read from BloombergTrump DEI Purge Hits Affordable Housing GroupsElectric Construction Equipment Promises a Quiet RevolutionHow Britain’s Most Bike-Friendly New Town Got BuiltICE Eyes Massive California Tent Facility Amid Space ConstraintsThe Dark Prophe",neutral,Yahoo Finance
"Magnificent Seven Stocks: Nvidia, Meta, Tesla Rally. Dubbed the Magnificent Seven stocks, Apple, Microsoft, Google parent Alphabet, Amazon.com, Nvidia, Meta Platforms and Tesla lived up to their name in 2024 with solid gains. Through the first two months of 2025, however, performance for these mega-cap stocks has been mostly negative thus far.",neutral,Yahoo Finance
"Apple (NasdaqGS:AAPL) Sees 10% Price Dip As New Product Launches Unveiled. Apple (NasdaqGS:AAPL) recently introduced new products, including the MacBook Air and Mac Studio, both boasting cutting-edge M4 and M3 Ultra chips, adding to its lineup of innovative technology. Despite these launches, the company experienced a 10% decline in its share price over the past month. The decline could be partially explained by broader market trends; the Nasdaq Composite has fallen nearly 5% over the same period, driven by economic concerns and inflation fears stemming from recent...",neutral,Yahoo Finance
"ChatGPT: Everything you need to know about the AI-powered chatbot. ChatGPT, OpenAI’s text-generating AI chatbot, has taken the world by storm since its launch in November 2022. What started as a tool to supercharge productivity through writing essays and code with short text prompts has evolved into a behemoth with 300 million weekly active users. 2024 was a big year for OpenAI, from its partnership with Apple for its generative AI offering, Apple Intelligence, the release of GPT-4o with voice capabilities, and the highly-anticipated launch of its text-to-video",neutral,Yahoo Finance
"Apple Cleared for iPhone 16 Sales in Indonesia--But One Last Permit Stands in the Way. Apple secures key permits, but one last hurdle could make or break its comeback in a massive market.",neutral,Yahoo Finance
"Stock Market Corrections: How To Sell Stocks, Manage Risk And Prepare For Next Uptrend. How can you handle stock market corrections? Use 4 proven guidelines to stay protected and get ready to profit in the next uptrend.",neutral,Yahoo Finance
Stock Market Correction Fears? Face Them With This Correction Checklist That Helps Gauge Its Severity. Not all market corrections act the same way. Look for these five key checkpoints to help gauge the severity and help you react appropriately.,neutral,Yahoo Finance
"Jim Cramer Says Short Sellers Are Eyeing Apple (AAPL) – Should Investors Worry?. We recently published a list of Jim Cramer Discussed These 7 Stocks. In this article, we are going to take a look at where Apple Inc. (NASDAQ:AAPL) stands against other stocks that Jim Cramer discussed. Jim Cramer, host of Mad Money, advised investors on Monday against exiting the market entirely, despite the sharp sell-off that […]",neutral,Yahoo Finance
"Goodbye to 'bags fly free' on Southwest Airlines, the last freebie in America. Southwest's customer-focused business model won it a loyal following during its half-century of flying.",neutral,CNBC
Trump administration sends a clear message to the oil and gas industry: 'You're the customer'. The officials leading Trump's energy agenda downplayed climate change and called for more energy production to support economic growth and national security.,neutral,CNBC
Goldman Sachs offers its newest option for downside protection in volatile markets. Goldman Sachs Asset Management launched its newest buffer exchange-traded fund this month.,neutral,CNBC
"After Elon Musk’s Delaware exit, state lawmakers weigh bill to overhaul corporate law. Delaware lawmakers are considering a bill that aims to make the state attractive to investors and executives.",neutral,CNBC
"From Polaroid to vinyl, Gen Z is making retro tech one of 2025’s biggest trends: ‘These things just have more value’. Young people are looking to unplug now more than ever before.",neutral,CNBC
"$1.5 million is the 'magic number' for retirement savings—here's how long it lasts in every U.S. state. In Hawaii, $1.5 million in savings may not last through retirement, but in West Virginia, it could stretch for 54 years.",neutral,CNBC
"Y Combinator startups are fastest growing, most profitable in fund history because of AI. Y Combinator CEO Garry Tan says for about a quarter of the current YC startups, 95% of the code was written by artificial intelligence models.",neutral,CNBC
Trump’s Canadian tariffs are having a chilling effect on Vermont’s small business owners. The Green Mountain State's small businesses are getting caught in the tariff crossfire between the United States and Canada.,neutral,CNBC
JPMorgan says own this drug stock. It's one Jim Cramer is itching to buy again. The Club remains optimistic about Bristol Myers and shares JPMorgan's enthusiasm about Cobenfy.,neutral,CNBC
How activist Mantle Ridge's presence at Cognizant can help lift the company's valuation. Signals suggest that Mantle Ridge likes Cognizant's new leadership and supports the board's actions. The Street may come to appreciate the stock.,neutral,CNBC
"Intel's new CEO receives $66 million in options and stock grants on top of $1 million salary. Lip-Bu Tan, who was named CEO of Intel this week, will receive $1 million in salary and about $66 million in stocks and grants vesting over the coming years.",neutral,CNBC
"Americans lost $5.7 billion to investment scams in 2024, FTC says. Here's how to protect yourself. Americans lost $5.7 billion to investment fraud in 2024, up 24% from 2023, according to the Federal Trade Commission.",neutral,CNBC
"Mark Cuban: Companies can either be 'great at AI' or risk being 'put out of business'. Mark Cuban says AI is already dominating the business world, just like personal computers once did — and companies that don't understand it will be left behind.",neutral,CNBC
"‘We are facing an epidemic of demoralization,’ says happiness expert—here’s how to fight that feeling. We often mistake demoralization for depression, but it's distinct. ""It often appears first, as a warning sign,"" says Stephanie Harrison, author of ""The New Happy.""",neutral,CNBC
"Harvard negotiation expert: People who are good at handling conflict do this 1 thing. Trying to solve conflict strips the interaction of its value, experts say.",neutral,CNBC
"33-year-old's side hustle once made just $2 an hour—now it's a business bringing in $369,000 a month. Penny Linn Designs CEO Krista LeRay turned her barely profitable side hustle into a business that brings in millions in annual revenue. Here's how she did it.",neutral,CNBC
"Cramer's week ahead: Fed meeting and earnings from FedEx, Micron and General Mills. CNBC's Jim Cramer walked investors through next week on Wall Street.",neutral,CNBC
"U.S. consumers are starting to crack as tariffs add to inflation, recession concerns. Airline and retail executives are bracing for a slowdown in demand amid concerns tariffs will cut down consumer spending.",neutral,CNBC
"Buy now, pay later lender Klarna files for U.S. IPO. Klarna filed its paperwork with the SEC on Friday to go public on the New York Stock Exchange under ticker symbol KLAR.",neutral,CNBC
